Date, Open, High, Low, Close
07/01/2015,285,303,282,297
07/10/2019,7903,8307,7773,8233
31/05/2020,9538,9738,9405,9513
18/01/2018,10929,12133,10702,11817
07/03/2023,22351,22549,21944,22057
26/12/2020,24447,26429,24213,26409
29/09/2023,27106,27226,26713,26921
09/07/2023,30118,30431,30075,30249
19/01/2024,40776,42132,40280,41513
31/12/2023,42283,42844,41990,42537
03/02/2024,42931,43348,42878,43049
20/08/2021,46697,49115,46367,48681
26/11/2021,58905,59331,53564,54569
22/03/2021,57586,58403,55582,55593
18/02/2017,1061,1070,1054,1066
22/04/2024,64554,66847,64397,66602
06/12/2018,3735,3840,3549,3626
03/05/2019,5399,5792,5372,5674
18/05/2018,8175,8274,7930,8234
09/11/2024,76775,76821,75778,76330
15/09/2023,26686,26710,26227,26410
05/01/2021,31259,34280,29949,34090
11/07/2024,57401,59354,57100,57386
21/04/2024,64891,65711,64277,64554
10/01/2019,4010,4033,3573,3627
10/03/2019,3891,3918,3870,3883
26/08/2018,6712,6773,6573,6699
29/05/2018,7238,7526,7058,7467
28/04/2020,7714,7795,7673,7723
13/11/2019,8787,8829,8709,8747
17/05/2020,9333,9888,9297,9771
05/12/2022,17093,17413,16881,16939
03/02/2023,23865,23919,23226,23339
30/12/2023,42023,42581,41386,42283
09/04/2022,42728,42871,42128,42539
28/10/2015,296,308,293,300
17/01/2019,3590,3648,3546,3628
24/11/2018,4215,4368,4123,4140
20/12/2019,7150,7213,7080,7212
27/12/2019,7244,7250,7067,7212
12/05/2018,8610,8650,8225,8492
17/11/2022,16560,16742,16408,16684
17/09/2022,19623,20179,19618,20012
13/09/2023,26074,26395,25777,26156
07/06/2022,31447,31570,29214,31020
25/08/2021,48252,49160,47151,48684
08/11/2021,62693,66531,62693,66093
06/05/2020,8917,9395,8914,9261
19/06/2023,26645,27032,26259,26669
17/04/2023,30333,30426,29267,29485
08/11/2023,35683,35761,35146,35629
31/12/2021,47204,48570,45663,45869
22/08/2021,48979,49463,48108,48685
20/08/2017,4094,4186,4047,4142
18/06/2018,6522,6792,6391,6702
24/12/2019,7401,7417,7161,7214
19/10/2019,7954,8090,7882,7982
07/01/2023,16892,16977,16887,16942
08/12/2022,16826,17293,16752,17198
08/12/2020,19057,19299,18619,18734
06/10/2022,20114,20439,19886,20014
30/08/2023,27851,27878,27051,27182
15/01/2017,826,828,808,815
11/05/2017,1774,1887,1751,1839
22/12/2018,3794,3926,3784,3887
13/09/2018,6309,6530,6292,6447
01/01/2020,7145,7231,7143,7215
16/04/2018,8308,8409,7907,7983
10/03/2020,7846,8154,7741,7983
09/09/2020,9991,10347,9851,10287
23/12/2017,14445,15830,13728,15407
20/09/2022,19515,19674,18740,18991
02/07/2022,19359,19643,18970,19247
23/10/2022,19187,19518,19082,19503
14/03/2023,24354,26502,24054,25135
22/02/2022,38242,38361,36377,37935
04/12/2023,39585,42140,39585,41775
05/12/2021,49342,49760,47843,48943
01/04/2021,58592,59450,57951,58927
30/10/2021,62565,62687,60795,61743
25/06/2024,59196,62330,58580,61999
24/03/2024,64889,65988,63828,65840
11/06/2024,69509,69666,66178,67376
02/10/2017,4294,4451,4293,4400
20/08/2018,6384,6545,6368,6448
15/12/2020,19205,19559,19053,19504
25/10/2022,19341,20406,19247,20272
01/02/2021,32913,34703,32344,33840
18/02/2022,40900,40965,39477,39984
27/09/2021,43258,44333,42724,43056
06/10/2021,51203,55322,50433,55088
07/07/2024,57865,58464,56599,57136
23/10/2024,67457,67788,65177,66353
14/05/2018,8625,8823,8291,8753
23/09/2020,10494,10571,10263,10289
01/08/2019,9998,10331,9886,10289
27/07/2020,9871,10945,9852,10801
16/08/2020,11846,11980,11701,11825
31/08/2023,27181,27528,25960,26161
21/03/2023,27865,28492,27423,28209
16/10/2023,27043,29977,27021,28465
31/03/2023,27983,28645,27546,28465
20/07/2023,30046,30411,29593,29745
29/01/2021,32633,38617,31998,34609
25/04/2022,39714,40351,38220,40241
11/09/2024,57971,57990,55567,57649
12/01/2019,3656,3698,3566,3634
24/10/2017,5925,5995,5556,5682
11/05/2020,8527,9175,8199,8754
16/02/2020,9892,10046,9625,9778
11/10/2022,19215,19274,18860,18994
10/01/2021,40719,41438,34819,37682
20/02/2024,51811,52974,50789,52018
